annotator	argumentative	overall quality	local acceptability	appropriateness	arrangement	clarity	cogency	effectiveness	global acceptability	global relevance	global sufficiency	reasonableness	local relevance	credibility	emotional appeal	sufficiency	argument	#id	issue	stance
1	y	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	it is true that bottled water is a waste, but bottles can be reused!	arg219250	ban-plastic-water-bottles	no-bad-for-the-economy
2	y	1 (Low)	3 (High)	2 (Average)	2 (Average)	3 (High)	1 (Low)	1 (Low)	3 (High)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	it is true that bottled water is a waste, but bottles can be reused!	arg219250	ban-plastic-water-bottles	no-bad-for-the-economy
3	y	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	3 (High)	2 (Average)	1 (Low)	2 (Average)	it is true that bottled water is a waste, but bottles can be reused!	arg219250	ban-plastic-water-bottles	no-bad-for-the-economy
1	y	2 (Average)	3 (High)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	3 (High)	2 (Average)	2 (Average)	3 (High)	3 (High)	2 (Average)	2 (Average)	Most Americans on average recycle 86-88% of there bottle waters. That is more than half! So stop complaining that we dont recycle because we do! <br/> http://www.treehugger.com/culture/23-percent-of-americans-donatmt-recycle.html	arg219293	ban-plastic-water-bottles	no-bad-for-the-economy
2	y	1 (Low)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	Most Americans on average recycle 86-88% of there bottle waters. That is more than half! So stop complaining that we dont recycle because we do! <br/> http://www.treehugger.com/culture/23-percent-of-americans-donatmt-recycle.html	arg219293	ban-plastic-water-bottles	no-bad-for-the-economy
3	y	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	3 (High)	1 (Low)	2 (Average)	3 (High)	2 (Average)	1 (Low)	2 (Average)	Most Americans on average recycle 86-88% of there bottle waters. That is more than half! So stop complaining that we dont recycle because we do! <br/> http://www.treehugger.com/culture/23-percent-of-americans-donatmt-recycle.html	arg219293	ban-plastic-water-bottles	no-bad-for-the-economy
1	y	2 (Average)	3 (High)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	3 (High)	3 (High)	2 (Average)	2 (Average)	3 (High)	1 (Low)	1 (Low)	2 (Average)	Banning bottled water would hurt the economy because it would leave hundreds of people without jobs and the big corporations like Dasani and Nestle would loose millions of dollars. It would hurt the economy severely. Millions of Americans use and purchase water bottle everyday so, banning them would only hurt big corporations. <br/> http://www.nestlewaterscorporate.com/bottled_water_things_to_know/	arg219258	ban-plastic-water-bottles	no-bad-for-the-economy
2	y	1 (Low)	2 (Average)	3 (High)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	3 (High)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	Banning bottled water would hurt the economy because it would leave hundreds of people without jobs and the big corporations like Dasani and Nestle would loose millions of dollars. It would hurt the economy severely. Millions of Americans use and purchase water bottle everyday so, banning them would only hurt big corporations. <br/> http://www.nestlewaterscorporate.com/bottled_water_things_to_know/	arg219258	ban-plastic-water-bottles	no-bad-for-the-economy
3	y	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	2 (Average)	2 (Average)	2 (Average)	3 (High)	2 (Average)	2 (Average)	3 (High)	2 (Average)	2 (Average)	2 (Average)	Banning bottled water would hurt the economy because it would leave hundreds of people without jobs and the big corporations like Dasani and Nestle would loose millions of dollars. It would hurt the economy severely. Millions of Americans use and purchase water bottle everyday so, banning them would only hurt big corporations. <br/> http://www.nestlewaterscorporate.com/bottled_water_things_to_know/	arg219258	ban-plastic-water-bottles	no-bad-for-the-economy
1	y	2 (Average)	3 (High)	3 (High)	3 (High)	3 (High)	2 (Average)	2 (Average)	2 (Average)	3 (High)	2 (Average)	2 (Average)	3 (High)	2 (Average)	2 (Average)	2 (Average)	Bottled water is somewhat less likely to be found in developing countries, where public water is least safe to drink. Many government programs regularly disperse bottled water for various reasons. Distributing small bottles of water is much easier than distributing large bulk storages of water. Also contamination from large water storage containers is much more likely than from single 12-20 ounce bottles of water.	arg219259	ban-plastic-water-bottles	no-bad-for-the-economy
